Синоптический индекс станции,year,month,day,hour,Общее количество облачности,Количество облачности нижнего яруса,HLC,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,Слоисто-дождевые облака,Погода между сроками,Погода в срок наблюдения,date,timestamp,datetime
29430,2010,1,29,15,0,0,0,0,0,0,0,0,2.0,2010-01-29 15:00:00,1264777200,2010-01-29 15:00:00
29430,2010,1,29,18,6,0,1,0,0,0,0,1,2.0,2010-01-29 18:00:00,1264788000,2010-01-29 18:00:00
29430,2010,1,29,21,0,0,0,0,0,0,0,1,2.0,2010-01-29 21:00:00,1264798800,2010-01-29 21:00:00
29430,2010,1,30,0,0,0,0,0,0,0,0,1,2.0,2010-01-30 00:00:00,1264809600,2010-01-30 00:00:00
29430,2010,1,30,3,10,0,1,0,0,0,0,1,2.0,2010-01-30 03:00:00,1264820400,2010-01-30 03:00:00
29430,2010,1,30,6,3,0,1,0,0,0,0,1,2.0,2010-01-30 06:00:00,1264831200,2010-01-30 06:00:00
29430,2010,1,30,9,2,0,1,0,0,0,0,0,2.0,2010-01-30 09:00:00,1264842000,2010-01-30 09:00:00
29430,2010,1,30,12,0,0,0,0,0,0,0,0,2.0,2010-01-30 12:00:00,1264852800,2010-01-30 12:00:00
29430,2010,1,30,15,0,0,0,0,0,0,0,0,2.0,2010-01-30 15:00:00,1264863600,2010-01-30 15:00:00
29430,2010,1,30,18,0,0,0,0,0,0,0,0,2.0,2010-01-30 18:00:00,1264874400,2010-01-30 18:00:00
29430,2010,1,30,21,0,0,0,0,0,0,0,0,2.0,2010-01-30 21:00:00,1264885200,2010-01-30 21:00:00
29430,2010,1,31,0,0,0,0,0,0,0,0,0,2.0,2010-01-31 00:00:00,1264896000,2010-01-31 00:00:00
29430,2010,1,31,3,0,0,0,0,0,0,0,0,2.0,2010-01-31 03:00:00,1264906800,2010-01-31 03:00:00
29430,2010,1,31,6,0,0,0,0,0,0,0,0,2.0,2010-01-31 06:00:00,1264917600,2010-01-31 06:00:00
29430,2010,1,31,9,2,0,1,0,0,0,0,0,2.0,2010-01-31 09:00:00,1264928400,2010-01-31 09:00:00
29430,2010,1,31,12,2,0,1,0,0,0,0,0,2.0,2010-01-31 12:00:00,1264939200,2010-01-31 12:00:00
